"Total air emissions by greenhouse gas, sector and year"

"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Biogenic carbon dioxide (CO2) from fuels (kt)","WASTE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,39.6,46.0,46.2,43.3,48.0,50.1,52.5,51.8,55.9,35.9,33.7,33.3,32.0,25.1,25.1,25.5,24.3,23.2,28.8,23.7,23.4
"Biogenic carbon dioxide (CO2) from fuels (kt)","ELECTRICITY AND DISTRICT HEATING, TOTAL",2280.8,2720.0,2700.5,3954.9,4972.3,6063.2,8508.7,7183.1,7593.4,8199.3,7954.6,9483.5,10426.9,11381.7,10939.3,12397.2,12794.9,13048.6,14450.4,15424.0,17465.3,15469.8,15970.2,16361.8,15119.7,15296.3,16408.8,16915.1,16721.4,16929.3,15343.0,18503.4,17559.0,17200.3
"Biogenic carbon dioxide (CO2) from fuels (kt)","INDUSTRY, TOTAL",16040.0,18177.6,19009.7,19234.8,20768.7,20364.6,19860.5,21181.7,21282.3,20671.8,19158.2,21624.8,21863.4,20415.5,22081.4,21381.6,22847.3,23425.3,23047.1,22197.6,25064.6,22471.3,22885.7,23258.5,22849.9,23615.5,23778.3,24332.2,23827.0,24540.9,25441.4,24458.0,25385.6,24829.1
"Biogenic carbon dioxide (CO2) from fuels (kt)","DOMESTIC TRANSPORT, TOTAL",2.2,3.1,4.0,4.6,6.9,9.5,13.7,17.5,45.9,50.8,58.9,80.9,140.6,251.1,450.0,467.8,635.8,826.3,995.6,1040.4,1130.0,1326.7,1579.4,1840.7,2393.0,2866.5,3644.0,4128.7,4513.4,4321.2,4277.8,4601.7,5245.1,4884.3
"Biogenic carbon dioxide (CO2) from fuels (kt)","INTERNATIONAL TRANSPORT, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,2.5,1.4,9.0,18.6,33.2
"Biogenic carbon dioxide (CO2) from fuels (kt)","AGRICULTURE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogenic carbon dioxide (CO2) from fuels (kt)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Biogenic carbon dioxide (CO2) from fuels (kt)","HEATING OF HOUSES AND PREMISES, TOTAL",4556.4,4668.5,4718.8,4924.9,4677.7,4910.1,4986.7,4696.4,4336.7,4216.4,4299.2,4217.6,4469.6,4955.6,4868.9,5079.7,4802.6,5225.2,5324.1,5661.5,5600.0,5729.8,5611.5,5462.1,5099.2,5032.0,5219.1,5269.5,4641.9,4586.7,4532.7,4588.4,4336.9,4336.9
"Biogenic carbon dioxide (CO2) from fuels (kt)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Methane (CH4) (t)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",302602.4,302379.3,307710.1,306650.2,304106.4,300642.5,301129.3,298575.8,294368.8,286796.0,280264.9,277602.2,267450.3,258909.5,259850.7,251975.3,247317.3,237115.0,226004.2,220060.1,215899.0,209531.9,202058.8,198215.3,192666.4,187855.3,185431.7,183907.4,180374.7,174862.2,171833.2,169973.7,168247.8,165853.1
"Methane (CH4) (t)","NATIONAL TOTAL (excluding LULUCF, including international transports)",302635.3,302410.6,307740.8,306683.9,304144.4,300688.5,301171.5,298622.1,294422.7,286850.4,280315.9,277650.2,267491.0,258959.9,259909.7,252036.3,247383.9,237180.5,226077.1,220133.1,215967.8,209595.1,202119.3,198274.0,192727.5,187908.1,185492.2,183973.8,180780.9,175336.0,172316.9,170508.2,168664.9,166600.4
"Methane (CH4) (t)","NATIONAL TOTAL (including LULUCF, excluding international transports)",324590.5,324203.3,329409.1,328257.8,325677.5,322096.7,322429.0,320132.2,315346.7,307865.0,301201.8,298437.9,288235.5,279603.7,280373.1,272416.1,267865.3,257046.9,246061.6,239288.9,234986.1,228309.3,220335.5,216522.6,211983.2,205929.5,203613.3,202095.1,200926.7,193445.1,190414.5,188705.1,187380.7,184974.3
"Methane (CH4) (t)","NATIONAL TOTAL (including LULUCF, including international transports)",324623.4,324234.7,329439.8,328291.5,325715.5,322142.7,322471.1,320178.6,315400.6,307919.4,301252.7,298485.9,288276.2,279654.1,280432.1,272477.1,267932.0,257112.4,246134.5,239362.0,235055.0,228372.5,220396.0,216581.3,212044.2,205982.3,203673.9,202161.5,201332.9,193918.9,190898.2,189239.7,187797.8,185721.6
"Methane (CH4) (t)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",501.9,508.6,505.6,490.7,487.6,488.6,486.2,486.7,485.9,485.0,478.3,471.2,475.6,475.9,477.3,468.3,510.8,526.8,533.4,515.9,487.9,452.8,416.9,385.1,367.5,355.3,351.2,347.9,340.9,330.7,324.8,319.9,309.6,285.5
"Methane (CH4) (t)","WASTE, TOTAL",143758.3,146029.7,146258.3,141767.6,136407.5,136249.7,135145.4,133896.0,131939.1,126726.5,123045.7,120977.8,113539.1,107470.7,106380.0,100261.9,96669.4,89127.1,78296.7,74167.3,69788.8,65178.8,59657.2,55478.2,50767.1,46729.7,43668.1,41208.5,38127.0,34597.2,32425.2,29208.6,27909.9,26223.0
